Gene Symbol	GSM1900148	GSM1900149	GSM1900150	GSM1900151	GSM1900152	GSM1900153	GSM1900154	GSM1900155	GSM1900156	GSM1900157	GSM1900158	GSM1900159	GSM1900160	GSM1900161	GSM1900162	GSM1900163	GSM1900164	GSM1900165	GSM1900166	GSM1900167	GSM1900168	GSM1900169	GSM1900170	GSM1900171	GSM1900172	GSM1900173	GSM1900174	GSM1900175	GSM1900176	GSM1900177	GSM1900178	GSM1900179	GSM1900180	GSM1900181	GSM1900182	GSM1900183	GSM1900184	GSM1900185	GSM1900186	GSM1900187	GSM1900188	GSM1900189	GSM1900190	GSM1900191	GSM1900192	GSM1900193	GSM1900194	GSM1900195	GSM1900196	GSM1900197	GSM1900198	GSM1900199	GSM1900200	GSM1900201	GSM1900202	GSM1900203	GSM1900204	GSM1900205	GSM1900206	GSM1900207	GSM1900208	GSM1900209	GSM1900210	GSM1900211	GSM1900212	GSM1900213	GSM1900214	GSM1900215	GSM1900216	GSM1900217	GSM1900218	GSM1900219	GSM1900220	GSM1900221	GSM1900222	GSM1900223	GSM1900224	GSM1900225	GSM1900226	GSM1900227	GSM1900228	GSM1900229	GSM1900230	GSM1900231	GSM1900232	GSM1900233	GSM1900234	GSM1900235	GSM1900236	GSM1900237	GSM1900238	GSM1900239	GSM1900240	GSM1900241	GSM1900242	GSM1900243	GSM1900244	GSM1900245	GSM1900246	GSM1900247	GSM1900248	GSM1900249	GSM1900250	GSM1900251	GSM1900252	GSM1900253	GSM1900254	GSM1900255	GSM1900256	GSM1900257	GSM1900258	GSM1900259	GSM1900260	GSM1900261	GSM1900262	GSM1900263	GSM1900264	GSM1900265	GSM1900266	GSM1900267	GSM1900268	GSM1900269	GSM1900270	GSM1900271	GSM1900272	GSM1900273	GSM1900274	GSM1900275	GSM1900276	GSM1900277	GSM1900278	GSM1900279	GSM1900280	GSM1900281	GSM1900282	GSM1900283	GSM1900284	GSM1900285	GSM1900286	GSM1900287	GSM1900288	GSM1900289	GSM1900290	GSM1900291	GSM1900292	GSM1900293	GSM1900294	GSM1900295	GSM1900296	GSM1900297	GSM1900298	GSM1900299	GSM1900300	GSM1900301	GSM1900302	GSM1900303	GSM1900304	GSM1900305	GSM1900306	GSM1900307	GSM1900308	GSM1900309	GSM1900310	GSM1900311	GSM1900312	GSM1900313	GSM1900314	GSM1900315	GSM1900316	GSM1900317	GSM1900318	GSM1900319	GSM1900320	GSM1900321	GSM1900322	GSM1900323	GSM1900324	GSM1900325
IL13RA2	6.6591093	3.8171636	3.8611129	4.3768305	4.811403	4.1926352	7.3048876	6.5755091	4.24505	3.8191223	4.9357583	4.2021017	4.2438565	4.1052312	6.4063951	3.8083682	3.8413324	5.9109003	5.4541228	5.0373675	4.2972877	7.1357686	3.8082572	8.2855184	5.6063766	5.1144108	5.4145265	7.3882746	5.9326436	4.0417051	7.0250251	5.9922157	5.1794625	4.7181417	3.9105676	4.2169948	7.3299252	6.731049	5.5025838	6.6117227	5.6188379	4.0103859	3.924159	7.1975608	4.1279567	3.984029	4.6585121	7.9409518	5.886089	4.1214159	3.9554991	6.8932675	5.6668986	4.5852317	5.6116995	6.4205326	4.7075272	4.0292286	6.9148396	4.8649168	6.9340912	4.825542	5.2490841	4.005744	3.8809153	4.4393328	5.6824841	4.6460367	3.7891343	7.4499791	8.6390038	7.515278	6.6883974	3.9933033	3.9631564	4.0563887	4.0311122	4.2621429	4.0930942	5.423188	5.8157604	4.2074758	4.975495	6.8603605	5.6996073	6.7200514	5.2787033	6.2658027	3.8765082	4.2827248	4.1080152	4.6355741	4.5187116	5.3386196	5.5352558	5.2789496	7.3914859	4.4799998	4.4328673	4.9354965	5.1244457	6.9359914	5.6069749	6.1727339	5.2110925	4.0110812	5.659632	7.3489325	4.9134989	6.7808778	6.7480147	4.2818403	5.1918836	4.0812669	4.1592725	5.7582767	4.8047387	5.2430933	3.9918067	3.8954281	6.6227579	4.616938	4.0387568	6.7377908	4.8458973	4.2520862	9.2901862	6.4502108	5.3250302	7.2665464	6.578335	4.2585161	4.6186387	4.19564	3.982241	8.5332325	7.2620596	5.7363113	5.1668709	4.2533877	4.3496782	4.9292178	7.0086228	5.1521743	6.4917433	5.1439236	7.8356825	5.0884714	5.2143803	7.1729789	5.6136222	7.5218424	5.967267	5.03077	4.5062855	6.2574327	5.348085	4.3458802	3.9463097	4.9875025	4.6925982	4.2099026	5.5499866	5.1946649	4.7714513	4.7720682	4.4906577	6.3198095	5.5900567	4.6333667	5.702846	4.1716316	7.0700969	6.1103216	8.3969678	4.6067924	7.3928931	4.8863404
OSM	7.7237126	5.9193872	6.3675753	5.9612014	6.0234691	5.9171181	9.6977421	9.7644669	6.150751	5.9021168	7.1362358	5.9565592	5.8794562	5.8854388	9.6239314	6.2891672	5.9163631	6.1774594	7.8902455	6.15108	6.0524065	7.5025861	5.5991482	11.262558	8.7290726	7.3147743	6.2746789	7.8027348	7.7119653	5.867381	8.2040918	8.0408532	6.9746186	6.3493364	5.7638345	5.9823494	7.8267705	9.4855797	6.7593976	7.0931404	10.447868	5.8005955	5.5341856	9.332093	6.8642093	5.797063	5.95003	10.300517	6.8535863	5.9269246	5.9765924	8.4036005	7.9569943	5.9503689	7.1826614	7.9422197	6.6615305	5.7613352	7.6866348	6.5086555	8.4441457	6.7101765	9.1932435	5.5950406	5.6686192	6.250818	7.6691059	6.6125006	5.8017533	6.7480888	7.9974336	8.2272168	7.9617226	5.6316786	5.8869116	5.8834662	5.4423352	5.9569886	5.6525247	6.1957965	6.262769	5.4449052	6.2007753	6.4916786	6.8583169	10.494265	6.9460348	6.4083787	6.0972072	6.2152178	5.9131204	6.1700406	6.0750756	7.2765905	7.1699891	7.8895672	6.9730559	6.1397106	7.0771707	6.2896877	6.3262875	9.5663579	6.416288	6.9118249	7.3658684	6.0197953	6.9276621	6.7428851	6.3097	9.3061877	10.79132	6.6952578	6.1187825	5.8810345	5.9064881	6.6521726	6.0175736	7.3919097	5.9880305	5.901592	8.9728428	6.2436377	5.7401165	7.2757486	6.5404201	6.2289357	8.7403726	6.4153749	6.0435003	7.3864542	9.8165765	6.2121812	6.4513291	5.8815693	5.8468162	10.562988	6.055862	9.4741013	7.240706	6.2189433	6.0780369	5.989354	7.2815304	5.944803	8.1238024	6.7552113	6.3032805	6.4084895	7.1344436	7.7919999	7.0936656	6.8039184	5.7437577	6.3815394	6.2738518	6.6726995	5.8511078	5.8944218	5.4489115	6.4436148	6.1375842	5.9052415	6.2893531	6.2428714	6.1328442	5.7840328	6.2696613	7.1641779	7.6086243	6.8302353	9.748496	6.0421204	10.682276	6.4229298	8.5511358	6.557637	7.2036121	6.4438716
TNF	7.3566416	6.123579	5.902715	5.7304589	5.9858963	5.9006997	7.4570802	7.2601051	6.1372274	6.3331629	6.2949056	6.0162652	6.1118221	5.8672956	9.1215383	6.2089377	6.3480453	6.2233971	7.1268781	6.195144	5.9031699	7.1032223	6.2852282	7.8347232	7.0080933	6.5273104	6.2062115	6.9752409	6.9262338	6.4100002	7.3138348	6.7012169	6.7269489	6.5202701	6.1248642	6.999135	7.1273006	7.1661104	6.4762173	7.1430214	7.5931577	6.1806228	6.0844015	6.9012908	6.8802256	5.9919541	6.2564648	8.0098498	6.9648692	6.1682579	5.8005349	7.2042417	6.1987221	5.8252892	5.9657389	6.2386884	6.0765605	5.9822904	7.4184066	6.7620288	6.7357055	6.4451062	7.7585314	5.5444543	5.8967736	6.8602793	6.6084116	6.0318326	6.1724557	6.3554132	6.54704	7.2253148	6.2343174	6.2443753	6.1577836	5.8331674	6.0591484	6.2449151	6.1186568	6.0898429	6.0194017	5.5633615	5.6591858	5.9980181	5.8829098	7.3272274	6.464938	6.3230282	6.0148158	6.0530199	6.1315576	6.1949415	6.6780037	6.6467569	6.3870887	6.8920015	6.3012246	6.0675182	6.0892997	6.2158992	6.9614448	6.7056608	6.7437253	6.9061211	6.4738844	6.1533968	6.6805043	6.3067946	6.6189548	7.3188442	8.4038479	6.3524252	5.9026034	5.6569935	5.8175599	6.2281455	6.7403594	6.0111735	5.9930052	6.3526476	6.6668133	5.8818949	5.9030093	6.2191793	6.6067153	6.1431038	6.5949068	6.0073762	6.1737403	6.5664291	7.685728	6.0970898	6.1850638	5.9334081	5.9261466	7.7816554	6.3019165	6.8383317	6.4729659	6.0298919	5.9818572	6.3085392	6.3510527	6.6586175	6.2486215	5.8979391	6.5234106	6.4536747	6.2919118	6.4915779	6.1423684	6.0024537	5.926522	6.1167929	6.2963759	6.3537156	6.5868435	6.1333332	5.8915684	6.0498165	6.4225386	5.7209522	7.1553622	6.5199017	6.8344726	6.3144297	6.9357969	7.2887275	7.040377	5.9958823	6.5234464	5.8070257	8.048851	6.7259346	7.6558507	6.3387413	6.643695	6.0623753
TNFRSF1B	8.9284876	8.1310498	7.7917789	8.0442117	7.6521723	7.5942852	9.3150981	9.108642	8.2815297	7.6116928	8.3037944	7.6657334	8.2558181	7.6969085	9.6494932	7.9374807	8.3821674	8.0219412	8.9379835	8.5016934	7.7316431	8.7615654	7.7401537	10.271358	9.3590794	8.2638768	8.0550706	8.3724492	8.5546596	8.6518159	8.485755	8.2300823	7.8652311	8.1463348	7.4421705	8.2606848	8.1255796	9.2517725	8.0884492	7.9589925	9.526893	8.0132765	7.6179297	9.2654508	8.2771737	7.3188434	8.0365208	9.5151389	8.6311091	8.0511673	8.0981238	9.0802745	8.6429839	7.8294836	8.1351478	8.289109	8.0904977	7.9178916	8.4420091	8.1599284	8.9542463	8.6575017	8.759114	7.6223243	8.1261037	8.2587923	8.7202335	8.1060536	7.4380367	8.2259099	8.9236161	8.8955765	8.1794853	7.624456	7.5906454	7.7441858	7.8350538	7.8029306	7.8363298	7.9967461	8.1799425	7.9317568	8.1112896	8.4296581	8.3374429	10.144744	8.6896113	8.5154752	8.2681999	7.9882196	7.3732427	7.8688685	8.5335346	8.5016388	8.5970273	8.669261	8.5225172	7.7098636	8.1704173	8.3811358	8.7643579	9.823926	8.28973	8.9357227	8.8249975	7.8070459	8.1881083	8.4675894	8.5383836	9.1716669	9.6340444	8.0164746	7.8640619	7.5537411	7.416066	8.3324655	8.429829	8.1943621	7.7256555	7.7103745	8.801788	7.4893587	7.4338992	8.5044845	8.407381	8.6400694	9.2636297	8.1748078	8.0213582	8.4843864	9.4242768	7.8270048	8.0693578	8.4279564	7.8027723	10.342067	8.3124243	9.3268057	8.8827653	7.9865547	7.8105083	8.4103349	8.9273796	8.6512192	8.5468777	8.7455346	8.6285692	8.2070484	8.4917112	8.8289612	8.3011749	8.5387434	8.3977671	8.3802852	8.0042613	8.0763291	8.2268304	8.1608739	7.8695547	8.2708675	7.9844543	7.7119592	8.499014	8.2738805	8.4355765	8.0974972	8.4786257	8.7887717	8.6937247	7.6240156	8.5793235	7.7803991	10.343894	8.1760218	9.0360218	8.3542731	8.6514934	8.1671164
TREM1	8.361601	5.3625163	5.2244205	5.3964795	5.1690905	5.457139	9.3162284	9.0001216	5.5486336	4.9521826	6.7750581	5.2214632	5.4548713	5.182567	9.4819649	5.2604702	5.1680552	5.8257154	8.1759914	6.3258075	5.1768423	8.03356	5.1456464	10.65456	8.8079959	6.9945616	6.1536513	8.1748579	8.3337222	5.107693	8.2438146	7.969873	6.8129389	6.2527813	5.3835655	5.9362135	8.0736039	9.2011058	6.7243372	7.1172051	10.042017	5.6808708	5.054441	9.2311769	6.9077656	5.2469051	5.2772465	9.9041383	6.8756256	5.3932218	5.1637932	8.0716471	8.0321857	5.3627065	6.7523427	7.354829	6.0809333	5.2394172	7.7453442	6.2282622	8.0814685	6.5871574	8.7980602	5.4610886	5.4736069	5.8451112	6.8651703	6.5345861	5.0223046	6.914813	8.7964307	8.0992166	7.5453462	5.1662313	5.5077502	5.1054722	5.2390586	5.1434849	5.1862279	6.5895033	6.8505944	5.340103	5.9139695	6.7383868	6.8353588	10.328891	7.2510921	7.0459068	5.4273105	5.4303427	5.2202331	6.2074812	5.3821234	7.4683694	7.4533115	7.8368359	7.4668426	5.52686	6.3290162	6.249111	6.5493828	9.4439066	5.9418964	7.7759518	7.2375357	5.7990246	7.1286026	7.0884648	6.4942897	8.613369	9.7907344	6.0657849	6.475081	5.1184706	4.9694462	5.908739	6.8333364	7.2299316	5.1167904	5.3207803	8.5299464	5.2680115	5.1897861	7.4851901	6.6564538	5.3599313	8.9477228	6.6401652	6.2082597	7.1062853	9.3536822	5.4605896	6.1729217	5.4993324	4.9738432	10.393903	6.1739473	9.6456682	8.0342576	6.0311814	5.349975	6.2708924	7.2553339	6.0245822	7.8415477	6.3252083	6.3675435	5.9164962	6.656951	7.7617288	7.4510823	7.3918918	6.3017116	6.1870892	5.8989725	6.8704325	5.567119	5.4906504	5.104648	6.3195531	5.6644031	5.3800466	6.6241219	6.5906483	5.9283446	5.1843215	5.8823863	7.3195434	7.3026647	6.7554025	9.1125049	5.5917992	10.290951	7.2036815	8.6709874	6.6532188	7.9295652	6.8346213
