dataset_id	endpoint	model_formula	covariates	effect_type	effect	ci_lower	ci_upper	pvalue	fdr	n	interpretation_boundary
GSE73661	mucosal_healing	mucosal_healing ~ axis_score_z	none	odds_ratio_per_1sd_axis_score	0.52115	0.288345	0.941916	0.0309155	0.0309155	64	retrospective_baseline_expression_association; not prospective clinical utility
GSE73661	mucosal_healing	mucosal_healing ~ axis_score_z + C(treatment_family)	treatment_family	odds_ratio_per_1sd_axis_score	0.532751	0.293097	0.968362	0.0388802	0.0388802	64	retrospective_baseline_expression_association; not prospective clinical utility
GSE109142	week_4_remission	week4_remission ~ axis_score_z	none	odds_ratio_per_1sd_axis_score	0.766329	0.57816	1.01574	0.0641209	0.0641209	206	retrospective_baseline_expression_association; pediatric_UC_week4_remission; not prospective clinical utility
GSE109142	week_4_remission	week4_remission ~ axis_score_z + total_mayo_score_num_z	baseline_total_mayo	odds_ratio_per_1sd_axis_score	0.860169	0.634396	1.16629	0.332209	0.332209	206	retrospective_baseline_expression_association; pediatric_UC_week4_remission; not prospective clinical utility
GSE109142	week_4_remission	week4_remission ~ axis_score_z + total_mayo_score_num_z + C(initial_treatment)	baseline_total_mayo;initial_treatment	odds_ratio_per_1sd_axis_score	0.85111	0.624421	1.1601	0.307635	0.307635	206	retrospective_baseline_expression_association; pediatric_UC_week4_remission; not prospective clinical utility
