analysis_scope	selection_rule	endpoint	model_type	effect_measure	term	n_samples	n_participants	n_ibd	n_control	n_uc	n_cd	n_sites	n_model	effect	ci_lower	ci_upper	pvalue	status	model_formula
all_biopsies	all public biopsies with participant-level clustering	IBD versus control	unadjusted_gee	odds_ratio_per_1sd	axis_score_z	2490	1162	2029	461	872	1157	7	2490	1.1146452116383392	1.0928824630110865	1.1368413254661902	3.890710012941009e-27	modeled	ibd_vs_control ~ axis_score_z
all_biopsies	all public biopsies with participant-level clustering	IBD versus control	age_sex_site_adjusted_gee	odds_ratio_per_1sd	axis_score_z	2490	1162	2029	461	872	1157	7	2490	1.1561990940547588	1.124959830449897	1.1883058478260775	2.8869842264143546e-25	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)
all_biopsies	all public biopsies with participant-level clustering	endoscopic_severity_4levels	spearman_correlation	spearman_rho	axis_score	2024	916	2024	0	867	1157	7	2024	0.13891823036080705	0.09592782985570183	0.18139133642427147	3.465688799834142e-10	modeled	spearman(axis_score, ibd_endoseverity_num)
all_biopsies	all public biopsies with participant-level clustering	nancy_histology_index	spearman_correlation	spearman_rho	axis_score	1183	543	1183	0	403	780	7	1183	0.4080730915345211	0.35943709925189676	0.45449810544126484	1.0981202708828321e-48	modeled	spearman(axis_score, nancyindex)
all_biopsies	all public biopsies with participant-level clustering	ghas_histology_sum7	spearman_correlation	spearman_rho	axis_score	1183	543	1183	0	403	780	7	1183	0.4326242261036243	0.3851245979232141	0.4778377485900092	3.844594447659972e-55	modeled	spearman(axis_score, ghas_sum7)
all_biopsies	all public biopsies with participant-level clustering	mayo_score_uc	spearman_correlation	spearman_rho	axis_score	867	418	867	0	867	0	7	867	0.20140892243578168	0.13665965183248752	0.264444573066558	2.186327491106489e-09	modeled	spearman(axis_score, ibdmesuc_mayo_score)
all_biopsies	all public biopsies with participant-level clustering	sescd_total_cd	spearman_correlation	spearman_rho	axis_score	1157	498	1157	0	0	1157	7	1157	0.08698621205325069	0.02950105600492261	0.14389786475598493	0.0030641666973155735	modeled	spearman(axis_score, ibdsescd_totalsescd)
one_biopsy_per_participant	first_expression_order	IBD versus control	unadjusted_logistic	odds_ratio_per_1sd	axis_score_z	1162	1162	919	243	421	498	7	1162	1.678637898912114	1.4323784228767995	1.967235159829297	1.5608094326031516e-10	modeled	ibd_vs_control ~ axis_score_z
one_biopsy_per_participant	first_expression_order	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	1162	1162	919	243	421	498	7	1162	1.631713534662432	1.358096051447087	1.9604571093212562	1.7097489139554216e-07	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)
one_biopsy_per_participant	first_expression_order	endoscopic_severity_4levels	spearman_correlation	spearman_rho	axis_score	916	916	916	0	418	498	7	916	0.13893962085434566	0.07483744489169125	0.20189826064563396	2.4450093037858187e-05	modeled	spearman(axis_score, ibd_endoseverity_num)
one_biopsy_per_participant	first_expression_order	nancy_histology_index	spearman_correlation	spearman_rho	axis_score	543	543	543	0	185	358	7	543	0.33164690973259037	0.2546065888488571	0.4045041001745946	2.087262476531868e-15	modeled	spearman(axis_score, nancyindex)
one_biopsy_per_participant	first_expression_order	ghas_histology_sum7	spearman_correlation	spearman_rho	axis_score	543	543	543	0	185	358	7	543	0.3388836590870194	0.2622153462138504	0.41130072141881374	4.658410838452928e-16	modeled	spearman(axis_score, ghas_sum7)
one_biopsy_per_participant	first_expression_order	mayo_score_uc	spearman_correlation	spearman_rho	axis_score	418	418	418	0	418	0	7	418	0.1092230452054677	0.013447085999178066	0.20301304904637124	0.025544461183409646	modeled	spearman(axis_score, ibdmesuc_mayo_score)
one_biopsy_per_participant	first_expression_order	sescd_total_cd	spearman_correlation	spearman_rho	axis_score	498	498	498	0	0	498	7	498	0.08300682335939387	-0.004897151478884207	0.16963779876438137	0.0641820103523208	modeled	spearman(axis_score, ibdsescd_totalsescd)
one_biopsy_per_participant	most_inflamed	IBD versus control	unadjusted_logistic	odds_ratio_per_1sd	axis_score_z	1162	1162	919	243	421	498	7	1162	1.823989719180674	1.5469068207573768	2.15070387629935	8.719303069304657e-13	modeled	ibd_vs_control ~ axis_score_z
one_biopsy_per_participant	most_inflamed	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	1162	1162	919	243	421	498	7	1162	2.013363720309006	1.6391595991728356	2.472994986151497	2.5504351223399906e-11	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)
one_biopsy_per_participant	most_inflamed	endoscopic_severity_4levels	spearman_correlation	spearman_rho	axis_score	916	916	916	0	418	498	7	916	0.24239599685054486	0.18045366050124337	0.3024232434154036	1.0268011458042381e-13	modeled	spearman(axis_score, ibd_endoseverity_num)
one_biopsy_per_participant	most_inflamed	nancy_histology_index	spearman_correlation	spearman_rho	axis_score	543	543	543	0	185	358	7	543	0.35686917539858304	0.2811667913152307	0.4281575812106882	9.414644364398745e-18	modeled	spearman(axis_score, nancyindex)
one_biopsy_per_participant	most_inflamed	ghas_histology_sum7	spearman_correlation	spearman_rho	axis_score	543	543	543	0	185	358	7	543	0.36951363139518145	0.2945257712603316	0.4399789283143136	5.200782975382379e-19	modeled	spearman(axis_score, ghas_sum7)
one_biopsy_per_participant	most_inflamed	mayo_score_uc	spearman_correlation	spearman_rho	axis_score	418	418	418	0	418	0	7	418	0.27827894449388396	0.18736313780826577	0.3644675448677452	7.161617292823095e-09	modeled	spearman(axis_score, ibdmesuc_mayo_score)
one_biopsy_per_participant	most_inflamed	sescd_total_cd	spearman_correlation	spearman_rho	axis_score	498	498	498	0	0	498	7	498	0.16824502667970956	0.08158284157358671	0.2523822167830764	0.00016192610921148237	modeled	spearman(axis_score, ibdsescd_totalsescd)
one_biopsy_per_participant	least_inflamed	IBD versus control	unadjusted_logistic	odds_ratio_per_1sd	axis_score_z	1162	1162	919	243	421	498	7	1162	1.3039048211659623	1.1258011108984542	1.5101848507708506	0.00039819030813106557	modeled	ibd_vs_control ~ axis_score_z
one_biopsy_per_participant	least_inflamed	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	1162	1162	919	243	421	498	7	1162	1.4070560535666365	1.1749600826511308	1.684999147725397	0.00020481076024330382	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)
one_biopsy_per_participant	least_inflamed	endoscopic_severity_4levels	spearman_correlation	spearman_rho	axis_score	916	916	916	0	418	498	7	916	-0.004090205787216578	-0.06884767126165493	0.060701583240006685	0.9016133288382095	modeled	spearman(axis_score, ibd_endoseverity_num)
one_biopsy_per_participant	least_inflamed	nancy_histology_index	spearman_correlation	spearman_rho	axis_score	543	543	543	0	185	358	7	543	0.3030152522899029	0.22459634407471454	0.37753463511732593	5.393005366170568e-13	modeled	spearman(axis_score, nancyindex)
one_biopsy_per_participant	least_inflamed	ghas_histology_sum7	spearman_correlation	spearman_rho	axis_score	543	543	543	0	185	358	7	543	0.336148297360669	0.2593382510714088	0.408732666538687	8.250008804781583e-16	modeled	spearman(axis_score, ghas_sum7)
one_biopsy_per_participant	least_inflamed	mayo_score_uc	spearman_correlation	spearman_rho	axis_score	418	418	418	0	418	0	7	418	0.08857140322181387	-0.007408369801213018	0.18293412374271895	0.07045401450653628	modeled	spearman(axis_score, ibdmesuc_mayo_score)
one_biopsy_per_participant	least_inflamed	sescd_total_cd	spearman_correlation	spearman_rho	axis_score	498	498	498	0	0	498	7	498	-0.08540483058792203	-0.17198246656728133	0.0024820523165172627	0.05683489296862899	modeled	spearman(axis_score, ibdsescd_totalsescd)
colorectal_sites	first_expression_order_within_colorectal_sites	IBD versus control	unadjusted_logistic	odds_ratio_per_1sd	axis_score_z	1078	1078	848	230	371	477	5	1078	1.744189071156445	1.469408819841564	2.0703533794424898	2.016331879662571e-10	modeled	ibd_vs_control ~ axis_score_z
colorectal_sites	first_expression_order_within_colorectal_sites	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	1078	1078	848	230	371	477	5	1078	1.7816767123503139	1.46417398054004	2.1680291751671485	8.036808075650466e-09	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)
