dataset_id	age_stratum	endpoint_family	endpoint_name	tissue_site	treatment_context	model_formula	covariates	effect_type	effect	ci_lower	ci_upper	pvalue	fdr	n	interpretation_boundary	clinical_role
GSE92415	adult	treatment_response_or_remission	week6_clinical_response	colon mucosal biopsy	PURSUIT-SC baseline biopsy; all_baseline_uc	week6_clinical_response ~ axis_score_z	none	odds_ratio_per_1sd_axis_score	0.749952	0.485723	1.15792	0.194161	0.194161	87	retrospective_baseline_expression_association; adult_PURSUIT_SC_week6_response; treatment-response label from GEO metadata; not prospective clinical utility	adult_direct_endpoint_validation
GSE92415	adult	treatment_response_or_remission	week6_clinical_response	colon mucosal biopsy	PURSUIT-SC baseline biopsy; all_baseline_uc	week6_clinical_response ~ axis_score_z + C(treatment)	treatment	odds_ratio_per_1sd_axis_score	0.754169	0.486422	1.16929	0.207322	0.207322	87	retrospective_baseline_expression_association; adult_PURSUIT_SC_week6_response; treatment-response label from GEO metadata; not prospective clinical utility	adult_direct_endpoint_validation
GSE92415	adult	treatment_response_or_remission	week6_clinical_response	colon mucosal biopsy	PURSUIT-SC baseline biopsy; all_baseline_uc	week6_clinical_response ~ axis_score_z + C(treatment) + baseline_mayo_score_z	treatment_baseline_mayo	odds_ratio_per_1sd_axis_score	0.801088	0.50696	1.26586	0.342079	0.342079	87	retrospective_baseline_expression_association; adult_PURSUIT_SC_week6_response; treatment-response label from GEO metadata; not prospective clinical utility	adult_direct_endpoint_validation
GSE92415	adult	treatment_response_or_remission	week6_clinical_response	colon mucosal biopsy	PURSUIT-SC baseline biopsy; golimumab_only	week6_clinical_response ~ axis_score_z	golimumab_only	odds_ratio_per_1sd_axis_score	0.657835	0.379118	1.14146	0.136374	0.136374	59	retrospective_baseline_expression_association; adult_PURSUIT_SC_week6_response; treatment-response label from GEO metadata; not prospective clinical utility	adult_direct_endpoint_validation
