activity_measure	n_pairs	n_ibd_participants	spearman_rho	ci_lower	ci_upper	pvalue
endoscopic_severity_4levels	916	919	0.13893962085434566	0.07483744489169125	0.20189826064563396	2.4450093037858187e-05
mayo_score_uc	418	919	0.1092230452054677	0.013447085999178066	0.20301304904637124	0.025544461183409646
sescd_total_cd	498	919	0.08300682335939387	-0.004897151478884207	0.16963779876438137	0.0641820103523208
nancy_histology_index	543	919	0.33164690973259037	0.2546065888488571	0.4045041001745946	2.087262476531868e-15
ghas_histology_sum7	543	919	0.3388836590870194	0.2622153462138504	0.41130072141881374	4.658410838452928e-16
sccai_uc	421	919	-0.034663461759583444	-0.1298075422331543	0.06111312551886146	0.4781176493813464
hbi_cd	498	919	0.017478994420464418	-0.07049753578964003	0.1051857017466691	0.6971953249575038
crp_log2	882	919	0.11030097666050068	0.044612796836865184	0.1750394806105037	0.0010338740183172656
fecal_calprotectin_log2	203	919	0.06600982713054603	-0.07236028440385342	0.20188693080362097	0.349423259508858
