dataset_id	endpoint	role	variant	n	covariates	model_formula	effect	ci_lower	ci_upper	pvalue	aic	mcfadden_r2	status
GSE12251	wk8_endoscopic_histologic_healing	adult_healing_like	axis_without_mmp	22	C(dose)	wk8_endoscopic_histologic_healing ~ axis_without_mmp_z + C(dose)	0.410399	0.141459	1.19065	0.101241	31.5063	0.158665	ok
GSE12251	wk8_endoscopic_histologic_healing	adult_healing_like	axis_without_regulatory	22	C(dose)	wk8_endoscopic_histologic_healing ~ axis_without_regulatory_z + C(dose)	0.255417	0.0646565	1.00899	0.0515115	28.89	0.244965	ok
GSE12251	wk8_endoscopic_histologic_healing	adult_healing_like	axis_without_junctional	22	C(dose)	wk8_endoscopic_histologic_healing ~ axis_without_junctional_z + C(dose)	0.212244	0.0548813	0.820819	0.0246984	26.9285	0.309663	ok
GSE12251	wk8_endoscopic_histologic_healing	adult_healing_like	axis_without_cldn2	22	C(dose)	wk8_endoscopic_histologic_healing ~ axis_without_cldn2_z + C(dose)	0.282127	0.0796589	0.999206	0.0498563	29.208	0.234474	ok
GSE12251	wk8_endoscopic_histologic_healing	adult_healing_like	cldn2_only	22	C(dose)	wk8_endoscopic_histologic_healing ~ cldn2_only_z + C(dose)	0.596154	0.231784	1.53333	0.283202	33.5139	0.092443	ok
GSE92415	week6_clinical_response	adult_response	original_axis	87	C(treatment);baseline_mayo_score_z	week6_clinical_response ~ original_axis_z + C(treatment) + baseline_mayo_score_z	0.801088	0.50696	1.26586	0.34208	124.46	0.034299	ok
GSE92415	week6_clinical_response	adult_response	mmp_only	87	C(treatment);baseline_mayo_score_z	week6_clinical_response ~ mmp_only_z + C(treatment) + baseline_mayo_score_z	0.721644	0.442722	1.17629	0.190657	123.6	0.04143	ok
GSE92415	week6_clinical_response	adult_response	regulatory_only	87	C(treatment);baseline_mayo_score_z	week6_clinical_response ~ regulatory_only_z + C(treatment) + baseline_mayo_score_z	0.970378	0.628608	1.49797	0.892028	125.357	0.0268552	ok
GSE92415	week6_clinical_response	adult_response	junctional_only	87	C(treatment);baseline_mayo_score_z	week6_clinical_response ~ junctional_only_z + C(treatment) + baseline_mayo_score_z	0.937165	0.603112	1.45624	0.7729	125.293	0.0273939	ok
GSE92415	week6_clinical_response	adult_response	axis_without_mmp	87	C(treatment);baseline_mayo_score_z	week6_clinical_response ~ axis_without_mmp_z + C(treatment) + baseline_mayo_score_z	0.924521	0.599132	1.42663	0.722899	125.25	0.0277463	ok
GSE92415	week6_clinical_response	adult_response	axis_without_regulatory	87	C(treatment);baseline_mayo_score_z	week6_clinical_response ~ axis_without_regulatory_z + C(treatment) + baseline_mayo_score_z	0.795293	0.49879	1.26805	0.335918	124.436	0.0344949	ok
GSE92415	week6_clinical_response	adult_response	axis_without_junctional	87	C(treatment);baseline_mayo_score_z	week6_clinical_response ~ axis_without_junctional_z + C(treatment) + baseline_mayo_score_z	0.77841	0.491703	1.23229	0.285171	124.208	0.0363879	ok
GSE92415	week6_clinical_response	adult_response	axis_without_cldn2	87	C(treatment);baseline_mayo_score_z	week6_clinical_response ~ axis_without_cldn2_z + C(treatment) + baseline_mayo_score_z	0.957394	0.615338	1.48959	0.846919	125.339	0.0270115	ok
GSE92415	week6_clinical_response	adult_response	cldn2_only	87	C(treatment);baseline_mayo_score_z	week6_clinical_response ~ cldn2_only_z + C(treatment) + baseline_mayo_score_z	0.74746	0.475482	1.17501	0.207244	123.748	0.0402043	ok
GSE206285	week8_mucosal_healing	adult_mucosal_healing	original_axis	542	C(treatment_family)	week8_mucosal_healing ~ original_axis_z + C(treatment_family)	0.560477	0.445102	0.705757	8.50665e-07	445.217	0.0535593	ok
GSE206285	week8_mucosal_healing	adult_mucosal_healing	mmp_only	542	C(treatment_family)	week8_mucosal_healing ~ mmp_only_z + C(treatment_family)	0.518164	0.40024	0.670831	6.03121e-07	442.751	0.058873	ok
GSE206285	week8_mucosal_healing	adult_mucosal_healing	regulatory_only	542	C(treatment_family)	week8_mucosal_healing ~ regulatory_only_z + C(treatment_family)	0.702586	0.552844	0.892888	0.0038972	461.472	0.0185324	ok
GSE206285	week8_mucosal_healing	adult_mucosal_healing	junctional_only	542	C(treatment_family)	week8_mucosal_healing ~ junctional_only_z + C(treatment_family)	0.78428	0.621661	0.989437	0.0404102	465.791	0.00922673	ok
GSE206285	week8_mucosal_healing	adult_mucosal_healing	axis_without_mmp	542	C(treatment_family)	week8_mucosal_healing ~ axis_without_mmp_z + C(treatment_family)	0.712419	0.561709	0.903566	0.00517117	462.036	0.0173168	ok
GSE206285	week8_mucosal_healing	adult_mucosal_healing	axis_without_regulatory	542	C(treatment_family)	week8_mucosal_healing ~ axis_without_regulatory_z + C(treatment_family)	0.591455	0.472833	0.739836	4.25818e-06	448.812	0.0458143	ok
GSE206285	week8_mucosal_healing	adult_mucosal_healing	axis_without_junctional	542	C(treatment_family)	week8_mucosal_healing ~ axis_without_junctional_z + C(treatment_family)	0.459199	0.35131	0.600222	1.22908e-08	433.329	0.079176	ok
GSE206285	week8_mucosal_healing	adult_mucosal_healing	axis_without_cldn2	542	C(treatment_family)	week8_mucosal_healing ~ axis_without_cldn2_z + C(treatment_family)	0.586561	0.459558	0.748663	1.82719e-05	450.77	0.0415938	ok
GSE206285	week8_mucosal_healing	adult_mucosal_healing	cldn2_only	542	C(treatment_family)	week8_mucosal_healing ~ cldn2_only_z + C(treatment_family)	0.813895	0.646448	1.02472	0.0797386	466.941	0.00674812	ok
GSE206285	week8_clinical_remission	adult_remission	original_axis	550	C(treatment_family)	week8_clinical_remission ~ original_axis_z + C(treatment_family)	0.644516	0.499307	0.831955	0.00074491	381.751	0.0402429	ok
GSE206285	week8_clinical_remission	adult_remission	mmp_only	550	C(treatment_family)	week8_clinical_remission ~ mmp_only_z + C(treatment_family)	0.577946	0.435328	0.767287	0.000149395	377.75	0.0504616	ok
GSE206285	week8_clinical_remission	adult_remission	regulatory_only	550	C(treatment_family)	week8_clinical_remission ~ regulatory_only_z + C(treatment_family)	0.842939	0.645157	1.10135	0.210442	391.383	0.0156384	ok
GSE206285	week8_clinical_remission	adult_remission	junctional_only	550	C(treatment_family)	week8_clinical_remission ~ junctional_only_z + C(treatment_family)	0.833367	0.640462	1.08437	0.174797	391.125	0.0162995	ok
GSE206285	week8_clinical_remission	adult_remission	axis_without_mmp	550	C(treatment_family)	week8_clinical_remission ~ axis_without_mmp_z + C(treatment_family)	0.808686	0.619012	1.05648	0.119451	390.523	0.0178354	ok
