analysis	n	term	or_per_1sd	ci_lower	ci_upper	pvalue
one_per_participant_ibd_vs_control_unadjusted	1162	axis_score_z	1.7124211297115575	1.4523153786209384	2.0191111163933866	1.5608094326031632e-10
one_per_participant_ibd_vs_control_adjusted	1162	axis_score_z	1.6627379697715599	1.374181196578722	2.011887197265742	1.7097489139553864e-07
all_biopsies_gee_adjusted	2490	axis_score_z	1.1561990940547586	1.1249598304498967	1.1883058478260773	2.8869842264142724e-25
