dataset_id	endpoint	model	effect_type	effect	ci_lower	ci_upper	pvalue	fdr	n	interpretation_boundary
GSE101794	CD_vs_nonIBD_ileum	cd_status ~ axis_score_z	odds_ratio_per_1sd_axis_score	4.90565	2.94104	8.18263	1.11133e-09	1.11133e-09	304	independent_ileal_disease_phenotype_validation; not treatment_response
GSE101794	CD_vs_nonIBD_ileum_age_sex_adjusted	cd_status ~ axis_score_z + age_z + C(sex)	odds_ratio_per_1sd_axis_score	4.96686	2.96534	8.31937	1.12641e-09	1.12641e-09	304	independent_ileal_disease_phenotype_validation; not treatment_response
