analysis_scope	selection_rule	endpoint	model_type	effect_measure	term	n_samples	n_participants	n_ibd	n_control	n_uc	n_cd	n_sites	n_model	effect	ci_lower	ci_upper	pvalue	status	model_formula	plot_label
all_biopsies	all public biopsies with participant-level clustering	IBD versus control	age_sex_site_adjusted_gee	odds_ratio_per_1sd	axis_score_z	2490	1162	2029	461	872	1157	7	2490	1.1561990940547588	1.124959830449897	1.1883058478260775	2.8869842264143546e-25	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)	All biopsies, clustered
one_biopsy_per_participant	first_expression_order	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	1162	1162	919	243	421	498	7	1162	1.6627379697715596	1.3741811965787218	2.0118871972657417	1.709748913955393e-07	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)	One biopsy per participant
one_biopsy_per_participant	most_inflamed	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	1162	1162	919	243	421	498	7	1162	1.9533488147508105	1.60450260798302	2.378040131006615	2.5504351223399528e-11	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)	Most inflamed biopsy
one_biopsy_per_participant	least_inflamed	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	1162	1162	919	243	421	498	7	1162	1.4581990251144008	1.1949335862503212	1.7794665923794284	0.0002048107602433	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)	Least inflamed biopsy
colorectal_sites	first_expression_order_within_colorectal_sites	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	1078	1078	848	230	371	477	5	1078	1.84772265877817	1.4997841540134342	2.2763802475350645	8.036808075650527e-09	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)	Colorectal sites
ileal_site	first_expression_order_within_ileum	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	666	666	545	121	188	357	1	666	1.5561429330670844	1.2148221342142205	1.9933624519452569	0.0004647501876692	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)	Ileal site
uc_or_control	first_expression_order_within_uc_or_control	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	664	664	421	243	421	0	7	664	1.3618776468058142	1.0942527154373076	1.694956474591086	0.0056603582218686	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)	UC or control
cd_or_control	first_expression_order_within_cd_or_control	IBD versus control	age_sex_site_adjusted_logistic	odds_ratio_per_1sd	axis_score_z	741	741	498	243	0	498	7	741	1.9789523815266736	1.5841468343440812	2.4721524819835428	1.8320787588900913e-09	modeled	ibd_vs_control ~ axis_score_z + age_z + C(sex) + C(site)	CD or control
