dataset_id	endpoint	null_design	iteration	random_or	random_abs_log_or	observed_or
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	814	1.3491096243088443	0.2994448373107667	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	815	1.115907526474724	0.1096679989441201	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	816	1.1280302762052157	0.1204729933231252	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	817	1.2277048810733324	0.2051464759834544	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	818	1.1649056296650249	0.1526400791572379	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	819	1.2539223586137789	0.2262765253128798	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	820	1.4531881191846376	0.3737598457084763	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	821	0.8259651254931036	0.1912027273051475	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	822	1.1011954326912854	0.0963963467035089	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	823	1.5687020748300964	0.4502485735221971	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	824	1.2176744829663906	0.1969428782044148	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	825	1.066458893264756	0.0643437145997184	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	826	1.3784045764568136	0.3209267263485419	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	827	0.9708060711989632	0.0296285513390241	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	828	1.257594625919497	0.2292008694008318	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	829	0.7797092064835197	0.2488342410108609	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	830	1.1171937534612422	0.1108199638283933	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	831	1.5210087396335406	0.4193737592393068	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	832	1.2583248061740606	0.229781317459502	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	833	1.3392716630148802	0.2921259311305677	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	834	0.7761747008594172	0.2533776541633922	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	835	1.2149395442874051	0.194694317766408	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	836	1.681145343670984	0.5194753133128251	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	837	1.3703273685330053	0.3150496664283834	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	838	1.0644832811506446	0.0624894994043342	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	839	1.0522304628697297	0.0509121614918781	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	840	1.3646079452701618	0.31086716779918	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	841	1.2348739599911236	0.2109689081844531	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	842	1.013904325036414	0.0138085467098906	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	843	1.1594018651814644	0.1479042386693675	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	844	1.436874220243951	0.3624700738602255	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	845	1.1547360575484915	0.1438717962556792	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	846	1.1502669197557045	0.1399940195785563	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	847	1.267580958514884	0.2371103270390031	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	848	0.7648619639648777	0.2680599006983211	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	849	1.564634818219286	0.4476524537725334	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	850	1.083500057050087	0.0801965946477935	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	851	0.7621121320505357	0.2716615791997513	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	852	0.8495880039358668	0.1630037482553198	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	853	1.2057336363539035	0.1870882085324546	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	854	1.1632150187306922	0.1511877392772893	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	855	1.045035659795449	0.0440510090407284	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	856	1.4450524025573357	0.3681455856524063	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	857	1.0191500600783214	0.0189690054970402	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	858	1.0135096073089802	0.0134191662029073	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	859	1.032120809362309	0.0316157235435644	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	860	1.4640969086038615	0.3812386077499118	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	861	1.0812283926003248	0.0780977953420318	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	862	1.3080986228818072	0.2685746499493215	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	863	1.5052466322010307	0.4089567599913942	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	864	1.2423382498027646	0.2169952892690731	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	865	1.5689048446789968	0.4503778247983349	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	866	1.0116517477780724	0.0115843888925131	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	867	1.3606077835109145	0.307931499558436	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	868	1.3089675218680403	0.2692386752128046	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	869	0.9923135361877876	0.0077161569297599	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	870	1.1498396239760844	0.1396224752379691	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	871	1.0739037886090108	0.0713004097732041	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	872	1.2032411969853911	0.1850189131430633	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	873	0.9274209456209735	0.0753477219649906	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	874	0.8822273252676269	0.1253055177855108	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	875	0.8446066633317716	0.1688842471790886	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	876	1.817476623942302	0.5974490686879712	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	877	0.7631411220496069	0.2703123079853949	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	878	1.0370702734484016	0.0363996930539769	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	879	1.3224216203441357	0.2794646167135753	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	880	1.165310555820702	0.152987623013705	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	881	1.2217795667818443	0.200308457228767	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	882	1.0498244873180065	0.0486229952622568	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	883	1.2148650076850354	0.1946329658339387	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	884	1.5500059038131009	0.4382587398355793	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	885	1.3446532722349651	0.2961361896603304	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	886	1.3630121323441011	0.3096970538810171	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	887	1.0948284383626443	0.0905976736989061	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	888	1.1110035143651604	0.1052636738974587	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	889	0.9931867510773886	0.0068365650692089	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	890	1.174375888135632	0.1607368474476862	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	891	1.0776028221309104	0.0747389650145507	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	892	1.077023260058724	0.074200995024347	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	893	1.025824110878924	0.0254963001605643	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	894	1.160232008820461	0.1486199927232647	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	895	1.3732059514137698	0.3171481165664984	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	896	1.23714033098071	0.2128025315844943	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	897	1.024018169910527	0.0237342705131412	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	898	1.03059654313137	0.0301378026771453	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	899	1.0808200556873004	0.0777200638270855	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	900	1.147949158278604	0.1379770097029075	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	901	0.7281495630940391	0.3172488080756475	1.7124211297115577
GSE193677	IBD versus control, one biopsy per participant	expression_and_variance_matched_module_structure	902	1.3134120983567945	0.2726284062115197	1.7124211297115577
