dataset_id	sample_size	disease_scope	tissue_site	platform	endpoint_family	intended_role	usability_decision	key_qc_status
GSE73661	178_total;64_baseline_endpoint	adult UC	colonic mucosal biopsy	Affymetrix Human Gene 1.0 ST Array	mucosal_healing	adult_direct_endpoint_anchor	usable_endpoint_modeled	pre_download_feasibility_complete
GSE12251	23_arrays;22_unique_patients_endpoint	adult UC	colonic mucosal biopsy	Affymetrix HG-U133 Plus 2.0 Array	mucosal_healing_or_endoscopic_histologic_healing	adult_direct_endpoint_validation	usable_endpoint_modeled	pre_download_feasibility_complete
GSE92415	183_total;87_baseline_endpoint	adult UC	colon mucosal biopsy	Affymetrix HT HG-U133+ PM Array	treatment_response_or_remission	adult_direct_endpoint_validation	usable_endpoint_modeled	pre_download_feasibility_complete
GSE206285	568_total;550_UC_baseline;542_mucosal_healing_endpoint	adult UC	sigmoid colon biopsy	Affymetrix HT HG-U133+ PM Array	mucosal_healing;clinical_remission	adult_direct_endpoint_expansion	usable_endpoint_modeled	pre_download_feasibility_complete
GSE23597	113_total;45_baseline_endpoint	adult UC	colonic mucosal biopsy	Affymetrix HG-U133 Plus 2.0 Array	treatment_response_or_remission	adult_direct_endpoint_validation	usable_endpoint_modeled	pre_download_feasibility_complete
GSE16879	133_total;61_pretreatment_endpoint	adult_or_mixed IBD	colon/ileum mucosal biopsy	Affymetrix HG-U133 Plus 2.0 Array	treatment_response_or_remission	adult_direct_endpoint_validation	usable_endpoint_modeled	pre_download_feasibility_complete
GSE193677	2490_biopsies;1162_participants	adult IBD/control	multisite mucosal biopsy	RNA-seq adjusted counts	adult_registry_replication	adult_registry_replication	usable_secondary_modeled	pre_download_feasibility_complete
GSE109142	226_total;206_UC_endpoint	pediatric UC/control	rectum	Illumina RNA-seq processed quantification	treatment_response_or_remission	pediatric_remission_context	usable_endpoint_modeled	pre_download_feasibility_complete
GSE57945	322_metadata;254_axis_scored	pediatric CD/UC/control	ileum	RNA-seq processed RPKM	ulceration_or_inflammatory_severity	pediatric_mucosal_injury_support	usable_secondary_modeled	pre_download_feasibility_complete
GSE101794	304	pediatric CD/control	ileum	RNA-seq processed quantification	phenotype_validation	pediatric_phenotype_support	usable_secondary_modeled	pre_download_feasibility_complete
GSE117993	190	pediatric IBD/control	rectum	RNA-seq processed quantification	phenotype_validation	pediatric_phenotype_support	usable_secondary_modeled	pre_download_feasibility_complete
