sample_id	dataset_id	axis_score	upstream_score	mmp_score	junction_score	scoring_method	qc_flags
CCFA_Risk_234	GSE57945	-0.12694	-0.527927	-0.199356	0.346465	signed_within_dataset_zscore_mean	ok
CCFA_Risk_235	GSE57945	-0.619851	-0.707247	-0.851545	-0.300761	signed_within_dataset_zscore_mean	ok
CCFA_Risk_236	GSE57945	0.459258	-0.0689225	1.11219	0.33451	signed_within_dataset_zscore_mean	ok
CCFA_Risk_237	GSE57945	-0.0555361	-0.148091	-0.112752	0.0942355	signed_within_dataset_zscore_mean	ok
CCFA_Risk_238	GSE57945	0.281712	0.830672	-0.337147	0.351612	signed_within_dataset_zscore_mean	ok
CCFA_Risk_239	GSE57945	-0.804856	-0.512063	-0.841097	-1.06141	signed_within_dataset_zscore_mean	ok
CCFA_Risk_240	GSE57945	-0.349899	-0.571121	-0.430886	-0.047691	signed_within_dataset_zscore_mean	ok
CCFA_Risk_241	GSE57945	-0.872522	-0.87366	-0.859854	-0.884052	signed_within_dataset_zscore_mean	ok
CCFA_Risk_242	GSE57945	-0.952295	-0.571738	-1.19048	-1.09466	signed_within_dataset_zscore_mean	ok
CCFA_Risk_243	GSE57945	-0.723644	-0.751077	-0.979763	-0.440093	signed_within_dataset_zscore_mean	ok
CCFA_Risk_244	GSE57945	-0.868847	-0.411638	-1.16639	-1.02851	signed_within_dataset_zscore_mean	ok
CCFA_Risk_245	GSE57945	-0.840818	-0.259931	-1.29254	-0.969987	signed_within_dataset_zscore_mean	ok
CCFA_Risk_246	GSE57945	-0.382694	-0.818506	-0.460893	0.131317	signed_within_dataset_zscore_mean	ok
CCFA_Risk_247	GSE57945	-0.396747	-0.015603	-0.806785	-0.367852	signed_within_dataset_zscore_mean	ok
CCFA_Risk_248	GSE57945	-0.483345	-0.357822	-0.81919	-0.273022	signed_within_dataset_zscore_mean	ok
CCFA_Risk_249	GSE57945	0.521928	1.03129	-0.449566	0.984066	signed_within_dataset_zscore_mean	ok
CCFA_Risk_250	GSE57945	-0.656681	-0.291376	-0.900734	-0.777934	signed_within_dataset_zscore_mean	ok
CCFA_Risk_251	GSE57945	-0.540477	-0.220775	-0.675348	-0.725309	signed_within_dataset_zscore_mean	ok
CCFA_Risk_252	GSE57945	0.69648	0.10031	1.71585	0.273285	signed_within_dataset_zscore_mean	ok
CCFA_Risk_253	GSE57945	-0.689603	-0.483762	-0.787407	-0.797638	signed_within_dataset_zscore_mean	ok
CCFA_Risk_254	GSE57945	0.562375	1.26595	0.0951088	0.326067	signed_within_dataset_zscore_mean	ok
GSM1900148	GSE73661	0.674447	0.0508072	1.78456	0.187977	signed_within_dataset_zscore_mean	ok
