sample_id	dataset_id	axis_score	upstream_score	mmp_score	junction_score	scoring_method	qc_flags
CCFA_Risk_058	GSE57945	-0.138455	0.0943538	-0.333342	-0.176378	signed_within_dataset_zscore_mean	ok
CCFA_Risk_059	GSE57945	-0.274443	-0.346236	-0.157815	-0.319279	signed_within_dataset_zscore_mean	ok
CCFA_Risk_060	GSE57945	-0.221955	-0.240003	-0.277823	-0.14804	signed_within_dataset_zscore_mean	ok
CCFA_Risk_061	GSE57945	-0.747579	0.0725976	-0.294207	-2.02113	signed_within_dataset_zscore_mean	ok
CCFA_Risk_062	GSE57945	1.16764	0.202678	2.96451	0.335716	signed_within_dataset_zscore_mean	ok
CCFA_Risk_063	GSE57945	-0.678883	-0.181962	-0.097289	-1.7574	signed_within_dataset_zscore_mean	ok
CCFA_Risk_064	GSE57945	-0.460901	-0.154454	-0.558816	-0.669432	signed_within_dataset_zscore_mean	ok
CCFA_Risk_065	GSE57945	-0.601088	-0.231447	-0.591731	-0.980086	signed_within_dataset_zscore_mean	ok
CCFA_Risk_066	GSE57945	-0.00770902	-0.178806	0.415419	-0.259741	signed_within_dataset_zscore_mean	ok
CCFA_Risk_067	GSE57945	-0.434986	-0.0426645	-0.342479	-0.919816	signed_within_dataset_zscore_mean	ok
CCFA_Risk_068	GSE57945	-0.162716	-0.21277	0.209561	-0.484939	signed_within_dataset_zscore_mean	ok
CCFA_Risk_069	GSE57945	0.585428	-0.424952	1.68655	0.494684	signed_within_dataset_zscore_mean	ok
CCFA_Risk_070	GSE57945	0.452082	0.476417	0.185321	0.694508	signed_within_dataset_zscore_mean	ok
CCFA_Risk_071	GSE57945	-0.325539	-0.0866139	-0.364927	-0.525076	signed_within_dataset_zscore_mean	ok
CCFA_Risk_072	GSE57945	0.251992	1.45474	-0.999179	0.300414	signed_within_dataset_zscore_mean	ok
CCFA_Risk_073	GSE57945	-0.326443	-0.182418	-0.368885	-0.428025	signed_within_dataset_zscore_mean	ok
CCFA_Risk_074	GSE57945	0.699405	0.201656	1.16104	0.735513	signed_within_dataset_zscore_mean	ok
CCFA_Risk_075	GSE57945	0.30387	-0.0104441	0.776102	0.145952	signed_within_dataset_zscore_mean	ok
